Date,Volume,Interest,Inflation,Military Expenditure,Unemployment,Month,Day,DayOfWeek,Close_deseasonalized_Lag_1,Close_deseasonalized_Lag_2
2004-07-06,5.176867684438853e-05,0.2346368715083799,0.8322147651006712,0.0,0.18421052631578944,0.5454545454545454,0.16666666666666669,0.25,0.020031071998834,0.01765843054157179
2004-07-07,1.553060305331656e-05,0.2271880819366853,0.825503355704698,0.0,0.18421052631578944,0.5454545454545454,0.2,0.5,0.01428443134088217,0.020031071998834
2004-07-08,1.553060305331656e-05,0.2271880819366853,0.8154362416107384,0.0,0.18421052631578944,0.5454545454545454,0.23333333333333334,0.75,0.019692703521456634,0.01428443134088217
2004-07-09,3.88265076332914e-05,0.223463687150838,0.8154362416107384,0.0,0.18421052631578944,0.5454545454545454,0.26666666666666666,1.0,0.025500273190444123,0.019692703521456634
2004-07-12,3.88265076332914e-05,0.2271880819366853,0.8053691275167786,0.0,0.18421052631578944,0.5454545454545454,0.3666666666666667,0.0,0.024573198521581296,0.025500273190444123
2004-07-13,3.88265076332914e-05,0.223463687150838,0.8154362416107384,0.0,0.18421052631578944,0.5454545454545454,0.4,0.25,0.023465854594498597,0.024573198521581296
2004-07-14,3.88265076332914e-05,0.223463687150838,0.8187919463087249,0.0,0.18421052631578944,0.5454545454545454,0.43333333333333335,0.5,0.018814376799477395,0.023465854594498597
2004-07-15,3.88265076332914e-05,0.2346368715083799,0.8221476510067115,0.0,0.18421052631578944,0.5454545454545454,0.4666666666666667,0.75,0.017974104529616647,0.018814376799477395
2004-07-16,3.88265076332914e-05,0.223463687150838,0.8053691275167786,0.0,0.18421052631578944,0.5454545454545454,0.5,1.0,0.016031813921400573,0.017974104529616647
2004-07-19,3.88265076332914e-05,0.22532588454376165,0.7986577181208054,0.0,0.18421052631578944,0.5454545454545454,0.6,0.0,0.018239371466363924,0.016031813921400573
2004-07-20,3.88265076332914e-05,0.22532588454376165,0.7986577181208054,0.0,0.18421052631578944,0.5454545454545454,0.6333333333333333,0.25,0.01693009335118717,0.018239371466363924
2004-07-21,3.88265076332914e-05,0.22532588454376165,0.8087248322147652,0.0,0.18421052631578944,0.5454545454545454,0.6666666666666666,0.5,0.016689642342579386,0.01693009335118717
2004-07-22,3.88265076332914e-05,0.2271880819366853,0.8087248322147652,0.0,0.18421052631578944,0.5454545454545454,0.7,0.75,0.009909528892100394,0.016689642342579386
2004-07-23,1.0353735368877707e-05,0.22532588454376165,0.8087248322147652,0.0,0.18421052631578944,0.5454545454545454,0.7333333333333333,1.0,0.012713416396541666,0.009909528892100394
2004-07-26,2.5884338422194266e-06,0.22905027932960895,0.8053691275167786,0.0,0.18421052631578944,0.5454545454545454,0.8333333333333334,0.0,0.01585393058978124,0.012713416396541666
2004-07-27,0.0,0.22905027932960895,0.8154362416107384,0.0,0.18421052631578944,0.5454545454545454,0.8666666666666667,0.25,0.016475616874710802,0.01585393058978124
2004-07-28,0.17905491103552884,0.23277467411545624,0.825503355704698,0.0,0.18421052631578944,0.5454545454545454,0.9,0.5,0.013264816515503847,0.016475616874710802
2004-07-29,0.10889541174217128,0.2346368715083799,0.8355704697986577,0.0,0.18421052631578944,0.5454545454545454,0.9333333333333333,0.75,0.012603220101015028,0.013264816515503847
2004-07-30,0.012882635232726087,0.23277467411545624,0.8221476510067115,0.0,0.18421052631578944,0.5454545454545454,0.9666666666666667,1.0,0.010563266110268893,0.012603220101015028
2004-08-02,0.002852454094125808,0.2309124767225326,0.8187919463087249,0.0,0.17543859649122812,0.6363636363636364,0.03333333333333333,0.0,0.008410764619881078,0.010563266110268893
2004-08-03,0.006968063903254697,0.223463687150838,0.8154362416107384,0.0,0.17543859649122812,0.6363636363636364,0.06666666666666668,0.25,0.008646628768942899,0.008410764619881078
2004-08-04,0.0003856766424906946,0.21973929236499068,0.8087248322147652,0.0,0.17543859649122812,0.6363636363636364,0.1,0.5,0.00844449943897152,0.008646628768942899
2004-08-05,0.0002795508549596981,0.2346368715083799,0.8154362416107384,0.0,0.17543859649122812,0.6363636363636364,0.13333333333333333,0.75,0.003455979602486642,0.00844449943897152
2004-08-06,0.00034167326717296433,0.23836126629422721,0.7986577181208054,0.0,0.17543859649122812,0.6363636363636364,0.16666666666666669,1.0,0.002478070378572811,0.003455979602486642
2004-08-09,0.0008231219618257777,0.24394785847299816,0.8020134228187921,0.0,0.17543859649122812,0.6363636363636364,0.26666666666666666,0.0,0.00611751047446793,0.002478070378572811
2004-08-10,0.00023813591348418724,0.25884543761638734,0.7986577181208054,0.0,0.17543859649122812,0.6363636363636364,0.3,0.25,0.006603486191951141,0.00611751047446793
2004-08-11,0.00047886026081059394,0.2718808193668529,0.8053691275167786,0.0,0.17543859649122812,0.6363636363636364,0.3333333333333333,0.5,0.0049409126672709525,0.006603486191951141
2004-08-12,0.00017860193511314045,0.2737430167597765,0.8120805369127517,0.0,0.17543859649122812,0.6363636363636364,0.3666666666666667,0.75,0.00048759656634128623,0.0049409126672709525
2004-08-13,0.0001656597659020433,0.2681564245810056,0.8087248322147652,0.0,0.17543859649122812,0.6363636363636364,0.4,1.0,0.0,0.00048759656634128623
2004-08-16,0.0007454689465591948,0.25884543761638734,0.8053691275167786,0.0,0.17543859649122812,0.6363636363636364,0.5,0.0,0.0040461580963264965,0.0
2004-08-17,0.0005383942391816407,0.21601489757914338,0.7885906040268458,0.0,0.17543859649122812,0.6363636363636364,0.5333333333333333,0.25,0.0063452872228427215,0.0040461580963264965
2004-08-18,0.00015789446437538502,0.25139664804469275,0.7919463087248323,0.0,0.17543859649122812,0.6363636363636364,0.5666666666666667,0.5,0.01231625019205465,0.0063452872228427215
